movieId,title
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)
33310,"Common Thread, A (a.k.a. Sequins) (Brodeuses) (2004)"
8228,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)"
5672,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002)
180777,Die Frauen von Ravensbrück (2005)
3626,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)
193579,Jon Stewart Has Left the Building (2015)
122926,Untitled Spider-Man Reboot (2017)
47,Seven (a.k.a. Se7en) (1995)
2614,Chopping Mall (a.k.a. Killbots) (1986)
7222,Reefer Madness (a.k.a. Tell Your Children) (1938)
94262,"Atomic Submarine, The (1959)"
94777,Men in Black III (M.III.B.) (M.I.B.³) (2012)
163386,Winnie the Pooh and the Day of Concern (1972)
7745,"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993)"
3652,"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)"
7749,Weekend (a.k.a. Le Week-end) (Week End) (1967)
5704,Without Warning (a.k.a. Alien Warning) (a.k.a. It Came Without Warning) (1980)
175693,Rick and Morty: State of Georgia Vs. Denver Fenton Allen (2016)
7248,"Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)"
48214,Land of Plenty (Angst and Alienation in America) (2004)
5720,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)"
26713,Days of Being Wild (A Fei jingjyuhn) (1990)
172637,Priklyucheniya Kapitana Vrungelya (1979)
69224,Marius and Jeanette (Marius et Jeannette) (1997)
1643,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
2155,"Slums of Beverly Hills, The (1998)"
1646,RocketMan (a.k.a. Rocket Man) (1997)
49265,Shooting Dogs (a.k.a. Beyond the Gates) (2005)
27251,"10th Kingdom, The (2000)"
3192,"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)"
88697,SUBWAYStories: Tales from the Underground (1997)
53883,"Power of Nightmares, The: The Rise of the Politics of Fear (2004)"
2172,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)"
32892,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962)
2691,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)"
152711,Who Killed Chea Vichea? (2010)
26761,Prime Suspect 2 (1992)
131724,The Jinx: The Life and Deaths of Robert Durst (2015)
6803,Phenomena (a.k.a. Creepers) (1985)
6295,Chasing Papi (a.k.a. Papi Chulo) (2003)
2716,Ghostbusters (a.k.a. Ghost Busters) (1984)
3241,"Cup, The (Phörpa) (1999)"
71341,Blood Creek (a.k.a. Town Creek) (2009)
36533,Cry_Wolf (a.k.a. Cry Wolf) (2005)
64695,Sword of the Stranger (Sutorejia: Mukô hadan) (2007)
5304,"Rome, Open City (a.k.a. Open City) (Roma, città aperta) (1945)"
96448,Piranha 3DD (a.k.a. Piranha DD) (2012)
4291,Nine to Five (a.k.a. 9 to 5) (1980)
32456,"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)"
96471,Prime Suspect 3 (1993)
26840,Sonatine (Sonachine) (1993)
91353,Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens) (1994)
60128,Young People Fucking (a.k.a. YPF) (2007)
6882,Returner (Ritaanaa) (2002)
2790,"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)"
2794,European Vacation (aka National Lampoon's European Vacation) (1985)
8426,Robot Carnival (Roboto kânibauru) (1987)
6382,Together (Han ni Zai Yiki) (2002)
4850,Spriggan (Supurigan) (1998)
6395,"Crazies, The (a.k.a. Code Name: Trixie) (1973)"
27899,What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004)
49917,When the Levees Broke: A Requiem in Four Acts (2006)
5889,"Cruel Romance, A (Zhestokij Romans) (1984)"
96518,Prime Suspect 6: The Last Witness (2003)
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)
142602,"F*ck You, Goethe 2 (2015)"
780,Independence Day (a.k.a. ID4) (1996)
4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001)
5915,Victory (a.k.a. Escape to Victory) (1981)
284,New York Cop (Nyû Yôku no koppu) (1993)
3360,Hoosiers (a.k.a. Best Shot) (1986)
78626,Barking Dogs Never Bite (Flandersui gae) (2000)
27426,"Accidental Spy, The (Dak miu mai shing) (2001)"
78637,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010)
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998)
